,Hospital,State,City,LocalAddress,Pincode,Hospital Type,Hospital Ownership,User Ratings(out of 5)
482,Ashirwad Hospital,Maharashtra,Mumbai,"#117,Kaap Kaneri,Thane,Opp Gopal Nagar Near Kalyan Naka",421302,Orthopedic Hospital or Clinic,Proprietary,4.9
483,Ashirwad Hospital,Maharashtra,Mumbai,"Maratha Section,Near Jijamatha Udyan,Ulhasnagar,Thane",421004,Psychiatric Hospital or Mental Health Clinic,Government,5
484,Ashirwad Hospital,Maharashtra,Pune,"2Nd Floor,Punit Yash Arcade,Near Kothurd Bus Stand,Karve Road",411038,Cardiology Center,Private,4.2
485,Ashirwad Hospital & Poly Clinic,Maharashtra,Mumbai,"#101, 103, Anurag Busines Centre, W.T.Patil Marg, Ghtla Villate, Chemburw.T. Patil Marg,Ghatla Village",400071,Cardiology Center,Voluntary non-profit ,4.8
486,Ashirwad Hospital & Research Centre,Uttar Pradesh,Varanasi,"B-38/1-C, Virdopur, Mahmorganj, Varanasi-221010",221010,Orthopedic Hospital or Clinic,Private,4.6
487,Ashirwad Maternity & General Hosptial,Maharashtra,Thane,"17,18 Samir Apt,Jesal Park,Bhayandar East,Thane",401105,Cardiology Center,Voluntary non-profit ,3.3
488,Ashirwad Maternity & Nursing Home,Maharashtra,Mumbai,"A/5,Harsh Appartment,Anand Nagar,Dhisar East",400068,"ENT Clinic -Ear, Nose, and Throat",Government,4.2
489,Ashirwad Medical & Orthopedic Hospital,Gujarat,Patan,"4-A, Subhadra Nagar, Opp. Technical School, Patan.",384265,Cardiology Center,Government,3.3
490,Ashirwad Nursing Home,Madhya Pradesh,Ratlam,"55-56,Ved Vyas Colony",457001,Cardiology Center,Private,4.3
491,Ashirwad Nursing Home,Maharashtra,Nalasopara,"'C'Wing, Seema Complex, Tulinj Road,Nalasopara(E),Thane,",401205,Eye Hospital or Ophthalmology Clinic,Proprietary,3.3
492,Ashirwad Nursing Home & Research Centre,Orissa,Sambalpur,Hospital Raod,768001,Psychiatric Hospital or Mental Health Clinic,Government,5
493,Ashirwad Orthopaedic And Surgical Nursing Home,Maharashtra,Mumbai,"Jambli Galli, Opp. Jain Temple, Borivali(W)",400092,Psychiatric Hospital or Mental Health Clinic,Private,3.4
494,Ashirwad Surgical Hospital,Gujarat,Amraiwadi,"Wonder Paint,Nh8 Ctm,Amraiwadi",380028,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4
495,Ashish Hospital,Madhya Pradesh,Jabalpur,"#1309, Napier Town,Home Science College Road.",482001,Orthopedic Hospital or Clinic,Private,3.6
496,Ashish Orthopaedic Hospital,Gujarat,Ahmedabad,"24, Himalaya Complex, Nehru Park, Vajtrapur",380015,Cancer Treatment Center or Oncology Hospital,Private,3.4
497,Ashok Hospital,Karnataka,Bangalore,"#65,N.H.C.S. Lay-Out, 3Rd Stage, 4Th Block, Basaveshwar Nagar, Kamalanagar Main Road.",560079,Cardiology Center,Voluntary non-profit ,3.3
498,Ashok Hosptial,Tamilnadu,Hosur,"#10-A, 1St Cross, Old Banfalore Road, Hosur,",635109,Dental Clinic,Government,4.1
499,Ashok Nursing Home,Delhi,Delhi,"F-3/15, Vijay Chowk,Krishna Nagarkrishnanagar, Delhi-110051.",110051,Eye Hospital or Ophthalmology Clinic,Proprietary,4.5
500,Ashoka Hospital,Kerala,Kannur,South Bazar.,670002,Maternity Hospital or Birthing Center,Government,4.5
501,Ashraya Hospital,Karnataka,Bangalore,"#26, Jetiappa Complex,Yelachenahalli, Kanakapura Rd",560078,Cancer Treatment Center or Oncology Hospital,Proprietary,3.4
502,Ashraya Hospital,Karnataka,Chickmangalur,P B No 77 Naidu Streetchikmagalur,577101,Psychiatric Hospital or Mental Health Clinic,Government,4.4
503,Ashraya Hospital,Karnataka,Davangere,"No.1977/1 & 2,Mcc 'A' Block,Shamanur Road,Davanagere",577004,Pediatric Hospital,Proprietary,3.9
504,Ashraya Medinova Pvt Ltd,Karnataka,Bangalore,"Magadi Main Road,Sunkadakatte,Srigandadakaval,",560091,Maternity Hospital or Birthing Center,Private,4.7
505,Ashtavinayak Maternity Eye & Sugical Nursing Home,Maharashtra,Mumbai,"Mtnl Marg College Lane, Ramgiri Heights, 104 First Floor.",400028,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.3
506,Ashtvinayak Hospital,Maharashtra,Raigad,"Khanda Colony,New Panvel West.",410206,Eye Hospital or Ophthalmology Clinic,Proprietary,3.2
507,Ashveny Clinic,Tamilnadu,Sivakasi,"1/6, Periyakaruppan Road,Sivakasi-626189",626189,Orthopedic Hospital or Clinic,Government,4.5
508,Ashvini Maternity & Gynecological Hospital,Maharashtra,Raigad,"Plot #59/1,Old Thanaka Road,Panvel",410206,Cancer Treatment Center or Oncology Hospital,Government,3.8
509,Ashwani Hospital,Haryana,Faridabad,"Sector 9, Huda,Market,Opp Comunity Centre",121001,Cardiology Center,Government,4.8
510,Ashwani Hospital,Haryana,Faridabad,8-D1/Sector-11,121006,Dental Clinic,Proprietary,3.8
511,Ashwin Hospital,Tamilnadu,Erode,"#212/545,Skc Road,Surampatti Nall Road,",638001,Psychiatric Hospital or Mental Health Clinic,Government,3.3
512,Ashwin Hospitals,Tamilnadu,Coimbatore,"#1, Alamu Nagar Road,Coimbatore-641012.",641012,Orthopedic Hospital or Clinic,Government,4
513,Ashwini Accident Multispeciality Hospital,Maharashtra,Nashik,"Govind Nagar,Chowk #5,Behind Hotel Prakash,",422001,Dental Clinic,Private,4.9
514,Ashwini Hospital,Karnataka,Bangalore,"#129, Katruguppa, Bsk 3Rd Stg,",560085,Cardiology Center,Government,4.9
515,Ashwini Hospital,Karnataka,Bangalore,"B.B.Road, Yelahanka,Bangalore-560064",560064,Psychiatric Hospital or Mental Health Clinic,Private,4.8
516,Ashwini Hospital,Karnataka,Dakshinakannada,"Nh-48, Nellyady,Dakshina Kannadadakshina Kannada",574229,Cardiology Center,Proprietary,3.5
517,Ashwini Hospital,Maharashtra,Pune,"Dattahasta 20/156,Bijali Nagar,Chinchwad",411033,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4.5
518,Ashwini Hospital(A Unit Of Cuttack Hospitals Pvt Ltd),Orissa,Cuttack,"Plot No.P3, Sector-1, Cda, Cuttack",753014,Cardiology Center,Government,4.8
519,Ashwini Kidney & Dialysis Centre,Maharashtra,Nagpur,"301 & Central Bazar Road, Ramdaspeth, Neet Gaurav Complex, Nagpur, Maharashtra",440010,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,4.2
520,Ashwini Maternity & Surgical Hospital,Maharashtra,Mumbai,"Ambika Darshan, M G Road, Above Bharti Jewellers, Rajawadi, Ghatkopar East, Mumbai - 400075 ,M.G.Road, Ghatkopar",400075,General Hospital,Private,4.6
521,Ashwini Multispeciality Hospital,Maharashtra,Mumbai,"Vadvau Section, Ambernath,Thane",421501,General Hospital,Government,4.9
522,Ashwini Nursing And Maternity Home,Maharashtra,Mumbai,"Mohan Niwas Keluskar Rdnear Meenatai Thakare Statue Shivaji Parkkeluskar Road, Dadar (W)",400028,Dental Clinic,Government,4.1
523,Ashwini Nursing Home,Karnataka,Bangalore,"#9, 1St A Cross. T.C. Palya Main Road, Akshyanagar, Ramamurthy Nagar.",560016,"ENT Clinic -Ear, Nose, and Throat",Private,4
524,Ashwini Nursing Home,Karnataka,Bangalore,"#382,Narayanappa Buildingd Ramamurthynagar",560016,Maternity Hospital or Birthing Center,Proprietary,3.9
525,Ashwini Nursing Home,Karnataka,Davangere,"Akka Mahadevi Road,A.V.K.College Road,P.J.Extension,Near Bapuji Corporation Bank,",577002,Psychiatric Hospital or Mental Health Clinic,Proprietary,3.5
526,Ashwini Nursing Home,Maharashtra,Pune,"S.No#51,Plot#16,Dhanori Road,Maharanapratap Chawk,Vishrantwadi",411015,Eye Hospital or Ophthalmology Clinic,Proprietary,3.9
527,Ashwini Sahakari Rugnalaya & Research Centre,Maharashtra,Sholapur,"North Sadar Bazar, Near Bhagatsingh Marketnear Bhagatsingh Market,",413003,Eye Hospital or Ophthalmology Clinic,Proprietary,4
528,Asian Eye Institute & Laser Centre,Maharashtra,Mumbai,"# 101A, Satya Narayan Apartment,Off M.G.Road, Borivali(E), Mumbai-400066",400066,Orthopedic Hospital or Clinic,Government,4.9
529,Asian Globus Liver & Gastroenterology Centre,Madhya Pradesh,Bhopal,"E-5/24,Arera Colony, Arera Petrol Pump, Bhopal",462016,Pediatric Hospital,Proprietary,5
530,Asian Institute Of Gastroenterology,Andhra Pradesh,Hyderabad,"6-3-661, Somajiguda, Near Red Rose Hotel, Hyderabad-500082",500082,"ENT Clinic -Ear, Nose, and Throat",Government,4.8
531,Asian Institute Of Medical Science,Maharashtra,Thane,"Plot No.P-72,Milap Nagar,Midc,Dombivli,Thane,",421203,Cardiology Center,Private,4.2
532,Asian Institute Of Medical Sciences (A Unit Of Blue Sapphire Health Care Pvt Ltd),Haryana,Faridabad,Badkal Flyover Road Opp C.P Office,121001,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4.7
533,Asian Specialty Hospital (A Unit Of Orch Hospital And Healthcare Services Llp),Karnataka,Hsr Layout,"# 11/A, 9Th Main, 13Th Cross, 6Th Sector Hsr Layout, Outer Ring Road, Bangalore-560102Hsr Layout",560102,"ENT Clinic -Ear, Nose, and Throat",Proprietary,4.2
534,Asopa Hospital,Rajasthan,Jaipur,"93-B Tagore Nagar, Jaipur, Rajasthan-302024, Near D.C.M.",302024,Orthopedic Hospital or Clinic,Proprietary,4.6
535,Asopa Hospital & Research Centre,Uttar Pradesh,Agra,"Garland Road, Off By Pass.",282007,"ENT Clinic -Ear, Nose, and Throat",Government,3.8
536,Assured Best Care Hospital,Tamilnadu,Trichy,"#1, Annamalai Nagar Main Road Thillai Nagarannamalai Nagar",620018,Cardiology Center,Private,3.1
537,Aster Aadhar Hospital (Prerana Hospital Ltd),Maharashtra,Kolhapur,"R.S. No.628, 'B' Ward, Shastri Nagar, Near Kmt Workshop, Kolhapur, Maharashtra-416012Mangalwar Peth",416012,"ENT Clinic -Ear, Nose, and Throat",Proprietary,3.4
538,Astha Hospital,Uttar Pradesh,Noida,"N.H-05, Block-2, Sector-Alpha-2, Greaer Noida-201306",201306,Cancer Treatment Center or Oncology Hospital,Government,4.3
539,Aswene Soundra Hospital & Research Centre,Tamilnadu,Chennai,"# 24,Kasturi Rangan Road,Teynampet",600018,Pediatric Hospital,Proprietary,4.8
540,Aswinee Nursing Home,Andhra Pradesh,Vijayawada,"D.No.29-26-56,Suryaraopet,Jadagamvari Street,Vijayawada,",520002,Orthopedic Hospital or Clinic,Government,4
541,Aswini Hospital,Kerala,Trichur,"Karunakaran Nambiar Road, Thrissur-680020",680020,Maternity Hospital or Birthing Center,Proprietary,3.6
542,Aswini Hospitals,Andhra Pradesh,Guntur,"15-1-17, 150 M5 From Rtc Bus Stand",522001,Dental Clinic,Private,3.3
543,Aswini Mother & Child Hospital,Andhra Pradesh,Westgodavari,"Taylor Pet,Narsapur",534275,Orthopedic Hospital or Clinic,Private,3.2
544,Aswini Netralayam,Andhra Pradesh,Guntur,"16-2-89, Guntur Road, Narasaraopet.",522601,General Hospital,Voluntary non-profit ,4.8
545,Atam Prakash Yadav Hospital,Haryana,Rewari,"Near Nai Anaj Mandi,Bharawas Road",123401,"ENT Clinic -Ear, Nose, and Throat",Private,4.5
546,Athare Patil Memorial Hosp And Research Center Pvt Ltd,Maharashtra,Ahmednagar,"185,Savedi Road,Ahmednagar-414001Maharashtra",414001,Psychiatric Hospital or Mental Health Clinic,Government,4.9
547,Athena Hospital,Karnataka,Mangalore,"Falnir Road, Mangalore-575001, Opp Ymca, Near Platinum Theatre",575001,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,3.2
548,Athipathi Hospital And Research Center,Tamilnadu,Chennai,"Plot No 1,100 Ft Rd,Tanni Nagar,Velachary",600042,Orthopedic Hospital or Clinic,Voluntary non-profit ,4
549,Athreya Hospital,Karnataka,Virajpet,"Gonikoppal Road Opp, Kstrc Bus Stands.Kodagu",571218,Maternity Hospital or Birthing Center,Proprietary,4.4
550,Atlas Hospitals,Tamilnadu,Tiruchirapalli,"34/1-First Cross, V.N. Nagar, Near Chathiram Bus Stand, Tiruchirapalli-620002",620002,Dental Clinic,Proprietary,3.4
551,Atole Accident Hospital,Maharashtra,Baramati,"Avdhoot Plaza,Bhigwan Road,",413102,Orthopedic Hospital or Clinic,Government,3.4
552,Attharva Accident Hospital,Maharashtra,Pune,"Plot # 17,Vadgaon Road,Near Bank Of Maharashtra,Talegaon Dabhade",410507,Psychiatric Hospital or Mental Health Clinic,Proprietary,4.4
553,Attingal Speciality Hospital,Kerala,Trivandrum,Parvathipuram Gramom.,695101,Dental Clinic,Government,4.9
554,Atul Hospital,Maharashtra,Mumbai,"26-A,Bharat Nagar, Grant Roadbharat Nagar",400008,Eye Hospital or Ophthalmology Clinic,Government,4.1
555,Atul Lok Hospital,Maharashtra,Mumbai,"#139/2447,Tagore Nagar,Group-7,Vikhroli East",400083,General Hospital,Proprietary,3.9
556,Atul Nursing Home,Uttar Pradesh,Agra,"#1/58, Delhi Gate, Opp. Pushpanjali Hospital, Agra-282002",282002,General Hospital,Government,3.5
557,Aum Eye Hospital,Gujarat,Jamnagar,"Jolly Bunglow Complex,Summair Club Road,",361005,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.6
558,Aum Hospital,Chattisgarh,Durg,"House # 22, Ward # 18.",491001,Pediatric Hospital,Government,3.9
559,Auro Ent Hospital,Gujarat,Ahmedabad,"Sanjeevani Complex Opp Mehsana Society, New Vadaj Road",380013,Eye Hospital or Ophthalmology Clinic,Government,4.6
560,Aurobindo Netralaya,West Bengal,Kolkata,"4A,Rajendra Beb Road,",700007,Pediatric Hospital,Proprietary,3.8
561,Auroma Ent Hospital,Gujarat,Ahmedabad,"Agrawal Tower, Bhuyangdev Cross Road, Ghatlodia",380061,Dental Clinic,Government,3.5
562,Austmangal Surgical Hospital,Gujarat,Ahmedabad,"Ahmedabad, Civil Hospital (1 Km)",380004,Cardiology Center,Voluntary non-profit ,4.8
563,Avadh Hospital & Heart Centre,Uttar Pradesh,Lucknow,"9-D, Singar Nagar, Kanpur Road.",226005,Psychiatric Hospital or Mental Health Clinic,Government,3.3
564,Avadhani Nethralaya,Karnataka,Bangalore,"No.33,1St Floor,Patalamma Temple Street,Basavanagudi,",560004,Cardiology Center,Voluntary non-profit ,4
565,Avadhoot Hospital & Iccu,Maharashtra,Mumbai,"Plot # 29,Sector-19,Thane",400708,Orthopedic Hospital or Clinic,Proprietary,3.1
566,Avanitka Hospital,Delhi,Delhi,"#168/A-00/Sector-2, Rohini, Near Pole Star Public School.",110085,Orthopedic Hospital or Clinic,Voluntary non-profit ,3.1
567,Avanti Institute Of Cardiology Pvt. Ltd.,Maharashtra,Nagpur,"# 5, Abhyankar Road,Dhontolidhantoli, Nagpur-440012",440012,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.5
568,Avantika Hospital,Uttar Pradesh,Ghaziabad,"No.137,Niti Khand-Ii,Indirapuram,",201010,Orthopedic Hospital or Clinic,Government,4.7
569,Avhieta Hospital & Health Care,Karnataka,Bangalore,"280/1 Byrathi Cross, Hennur Bagalur Main Road, Bangalore-560077",560077,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,4.5
570,Avinash Shah Memorial Multispeciality Hospital,Karnataka,Gulbarga,"184-20/08/2007,Jayanagar,Sedam Road",585105,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.7
571,Avm Medical Ent Research Fundation,Tamilnadu,Chennai,"3, P.S.S. Road,Mylapore",600004,Cancer Treatment Center or Oncology Hospital,Proprietary,3.2
572,Avss Hospitals,Tamilnadu,Madurai,"# 32A, Kuruvikkaran Salai, Madurai-625009",625009,General Hospital,Government,4.6
573,Aware Global Hospital (A Unit Of Ravindranath Ge Medical Associates Pvt Ltd),Andhra Pradesh,Hyderabad,"08-16-01, Lingojiguda,Saroornagar,L.B.Nagar",500035,Pediatric Hospital,Government,3.9
574,Aware Global Hospitals,Andhra Pradesh,Hyderabad,"Shanthivanam, Nagarjuna Sagar Roadnagarjuna Sagar Road,",500035,Orthopedic Hospital or Clinic,Proprietary,3.8
575,Axis Eye Foundation,Andhra Pradesh,Hyderabad,"Suite # 502, Rivera Apts Dwarakapuri Colony Panjagutta",500082,Orthopedic Hospital or Clinic,Government,4
576,Axon Hospitals,Andhra Pradesh,Hyderabad,"8-3-215,Srinvasanagar, Colony West, Opp Icici Bank Sr Nagar,Hyderabad-500038",500038,Psychiatric Hospital or Mental Health Clinic,Private,4.2
577,Aysha Hospital,Tamilnadu,Chennai,"91A Millers Road, Kilpauk",600010,Cardiology Center,Private,4.9
578,Ayub Ansari Nursing Home,West Bengal,Kolkata,"Q-39,S.A.Farooquie Road,Metiabru,",700024,Maternity Hospital or Birthing Center,Private,4.2
579,Ayush Hospital,Andhra Pradesh,Hyderabad,"Premises # 1-2-30/7, Nizampet Road.",500072,Eye Hospital or Ophthalmology Clinic,Government,4.9
580,Ayush Hospitals & Trauma Care Pvt Ltd,Orissa,Bhubaneswar,"#13-14,Acharya Vihar Square,Acharya Vihar,Bhubaneswar",751022,General Hospital,Government,3.6
581,Ayushmaan Hospital & Diagnostic Institute,Chattisgarh,Raipur,"Sunder Nagar, Mahadeo Ghat Road, Raipur",492001,"ENT Clinic -Ear, Nose, and Throat",Government,4
582,Ayushman Hospital,Delhi,Delhi,"# 2, Sec-12, Dwarka",110075,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.7
583,Ayushman Hospital,Madhya Pradesh,Bhopal,"C-Sector, Shahpura Lake",462014,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.7
584,Ayushman Hospital & Trauma Centre,Haryana,Gurgaon,37K.M. Hero Honda Chowk.,122001,Orthopedic Hospital or Clinic,Government,3.4
585,Ayushman Hospital & Trauma Centre,Uttar Pradesh,Varanasi,"J25/59, Alaipur, G.T. Road, Infornt Of Varanasi City Railway Station, Varanasi-221001",221001,General Hospital,Private,4.3
586,Ayushman Neuro Cardio Centre Shubham Hospital,Madhya Pradesh,Gwalior,"14-B,Vijaynagar Extension,Near Prem Motors,Baant Vihar",474002,Pediatric Hospital,Voluntary non-profit ,4.1
587,Azam Hospital,Andhra Pradesh,Hyderabad,"21-4-189, Azam Hospital, Hussaini Alam, Hyderbad-500002",500002,Dental Clinic,Proprietary,5
588,Azra Memorial Hospital,Uttar Pradesh,Lucknow,"Water Works Road, Aishbagh Opp Ramleela Maidan Opp Ramleela Maidan Besides Aishbabagh Eidgah",226003,Maternity Hospital or Birthing Center,Government,3.5
589,B M Birla Heart Research Centre,West Bengal,Kolkata,"1/1, National Library Avenue",700027,Dental Clinic,Government,3.5
590,B M Hospitals,Tamilnadu,Chennai,"36, 5Th Main Road,Thillai Ganga Nagarcheenai",600061,Cardiology Center,Private,3.8
591,B.A Hospital & Training Centre,Karnataka,Bantwal,"Thumbay,Bantwal",574170,Eye Hospital or Ophthalmology Clinic,Private,4.9
592,B.B Hospital,Tamilnadu,Chennai,"No.52,Dayalu Nagar,Kolathur,Near Villirakham Railway Station,",600099,Cancer Treatment Center or Oncology Hospital,Government,4.1
593,B.G Hospital,Tamilnadu,Tiruchendur,"1/143-B,Tuticorin Road,Veerapandianpatnam, Tiruchendur",628216,Pediatric Hospital,Private,4.7
594,B.G. Hospital,Karnataka,Bangalore,"Mayamma Thimmappa Complex, Tumkur Road, Anchepalya.",560073,Cancer Treatment Center or Oncology Hospital,Government,3.8
595,B.G.S Vivus Heart Centre,Karnataka,Mandya,"Bandhi Gowda Extension,Bangalore Mysore Highway,",571401,Psychiatric Hospital or Mental Health Clinic,Government,3.4
596,B.J. Lingegowda Hospital,Karnataka,Chanapatna,Bangalore-Mysore Road,571501,Dental Clinic,Voluntary non-profit ,3.6
597,B.J.S.Bal Memorial Hospital,Punjab,Gurdaspur,"#11/4,Dharampur Colony,Batala,Gurdaspur",143505,General Hospital,Private,4.7
598,B.K.Heart Hospital Pvt Ltd,Uttar Pradesh,Varanasi,"N 7/1,R-12,Bhikharipur,Dlw,Bhu,Varanasi",221004,Orthopedic Hospital or Clinic,Government,4.1
599,B.K.Memorial Hospital,Assam,Sonitpur,"Natun Para Near Ganesh Mill Char Ali,Tezpur",784001,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,3.7
600,B.K.R Hospital,Andhra Pradesh,Hyderabad,"8-3-164/C, Erragadda, Beside Gokul Theatre.",500018,Maternity Hospital or Birthing Center,Proprietary,4.8
601,B.M. Gupta Nursing Home Pvt Ltd.,Delhi,Delhi,"H-11, Uttam Nagar, New Delhi",110059,Maternity Hospital or Birthing Center,Government,4.6
602,B.M.Orthopaedic Hospital,Tamilnadu,Chennai,"No.3/157, Mth Road, Ambattur,Chennai - 53",600053,Pediatric Hospital,Private,4.1
603,B.M.R Hospitals,Andhra Pradesh,Guntur,"6Th Lane,2Nd Cross,Arundelpet",522002,Cardiology Center,Government,4.7
604,B.M.Silver Jubilee Multi Speciality Hospital,Tamilnadu,Kanchipuram,"41, Dharga Road, Pallavaram, Kancheepuram, Chennai-600043",600043,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,4.9
605,B.N.V Hospital Pvt Ltd,Kerala,Trivandrum,"Thiruvallam Post,Trivandrum",695027,Dental Clinic,Voluntary non-profit ,3.4
606,B.P. Poddar Hospital & Medical Research Ltd,West Bengal,Kolkata,"71/1, Humayun Kabir Sarani,New Alipore,Blk-G,New Alipore, Block-G,Kolkata",700053,Psychiatric Hospital or Mental Health Clinic,Proprietary,4.5
607,B.P.Jain Hospital,Tamilnadu,Kanchipuram,"Plot No.6,Gokulam Colony,Anna Salai,Pammal,Kanchipuram",600075,Eye Hospital or Ophthalmology Clinic,Proprietary,3.6
608,B.R. Hospital,Tamilnadu,Thiruvallur,"10&12, Alamaram Street, Tiruttani.",631209,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.4
609,B.R. Memorial Hospital,Haryana,Ballabgarh,"Fca-103, Mukesh Colony, Ballabgarh, Faridabad-121004",121004,Cardiology Center,Voluntary non-profit ,4.2
610,B.S. Hospital,Tamilnadu,Chennai,"# 16, 3Rd Main Road,Chitlapakkam,",600064,Orthopedic Hospital or Clinic,Proprietary,3.8
611,B.S.S. Hospital,Tamilnadu,Chennai,"New No 200, Old # 179/1, R.K. Mutt Road, Mandaveli,",600028,General Hospital,Private,3.2
612,B.Siddaramanna Hospital,Karnataka,Tumkur,"Opp Ib Railway Station Road,Gandhinagar",572102,Dental Clinic,Proprietary,4.8
